ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIO
4.3,8.0,15.1,306.0
5.5,8.0,16.0,317.0
3.2,6.0,16.1,336.0
4.3,8.0,17.0,354.0
4.3,8.0,15.3,304.0
5.0,8.0,16.1,320.0
5.0,8.0,16.3,322.0
6.0,12.0,20.1,393.0
2.3,4.0,12.0,242.0
2.3,4.0,12.6,246.0
2.4,4.0,12.8,258.0
2.4,4.0,11.6,235.0
2.4,4.0,13.5,283.0
2.4,4.0,12.1,255.0
2.4,4.0,14.9,313.0
3.3,6.0,16.8,350.0
3.3,6.0,16.1,345.0
3.3,6.0,17.3,361.0
3.3,6.0,16.2,350.0
3.0,6.0,13.4,265.0
3.0,6.0,12.3,253.0
3.3,6.0,17.3,361.0
3.3,6.0,16.5,357.0
3.3,6.0,15.5,306.0
2.4,4.0,14.2,292.0
3.3,6.0,16.5,343.0
3.3,6.0,15.9,338.0
3.3,6.0,17.3,361.0
3.3,6.0,16.2,350.0
2.4,4.0,12.1,242.0
2.4,4.0,12.5,244.0
3.4,6.0,13.6,262.0
3.5,6.0,14.7,283.0
3.4,6.0,14.0,281.0
3.5,6.0,15.4,308.0
3.8,6.0,14.4,276.0
3.8,6.0,15.1,290.0
3.8,6.0,13.9,269.0
3.8,6.0,13.8,265.0
5.7,8.0,14.9,299.0
5.7,8.0,14.9,290.0
1.0,3.0,7.1,147.0
1.3,4.0,9.1,191.0
1.3,4.0,7.6,156.0
2.4,4.0,12.1,242.0
2.4,4.0,12.5,244.0
3.4,6.0,13.6,262.0
3.1,6.0,13.1,255.0
3.8,6.0,13.5,262.0
3.8,6.0,15.0,288.0
3.4,6.0,14.0,281.0
2.2,4.0,11.8,242.0
2.2,4.0,11.6,232.0
2.2,4.0,12.2,235.0
2.4,4.0,12.5,248.0
2.4,4.0,12.1,235.0
3.4,6.0,16.0,308.0
3.4,6.0,15.4,301.0
3.4,6.0,16.0,313.0
3.4,6.0,15.7,311.0
2.7,6.0,15.3,301.0
2.7,6.0,15.0,297.0
3.2,6.0,15.9,311.0
3.2,6.0,15.0,294.0
2.0,4.0,13.4,274.0
2.0,4.0,12.9,255.0
2.3,4.0,13.1,258.0
2.3,4.0,13.9,276.0
2.3,4.0,13.2,260.0
3.0,6.0,14.3,283.0
2.3,4.0,13.9,276.0
2.3,4.0,13.2,260.0
3.0,6.0,14.3,283.0
2.2,4.0,11.9,239.0
2.2,4.0,12.2,235.0
3.0,6.0,13.3,269.0
2.2,4.0,12.1,244.0
3.0,6.0,13.3,269.0
1.9,4.0,10.1,200.0
1.9,4.0,9.8,191.0
1.9,4.0,10.6,207.0
1.9,4.0,10.3,202.0
1.9,4.0,10.1,198.0
1.9,4.0,9.3,184.0
1.9,4.0,10.6,207.0
1.9,4.0,10.3,202.0
1.9,4.0,10.6,207.0
1.9,4.0,10.3,202.0
2.5,4.0,12.2,246.0
2.5,4.0,12.5,248.0
2.2,4.0,11.7,239.0
2.2,4.0,11.8,242.0
2.5,4.0,11.8,244.0
2.5,4.0,12.8,258.0
2.2,4.0,11.7,239.0
2.2,4.0,11.8,242.0
2.5,4.0,12.2,253.0
2.5,4.0,12.5,253.0
2.5,4.0,12.2,255.0
2.5,4.0,12.5,253.0
1.6,4.0,9.9,205.0
1.6,4.0,8.8,182.0
1.8,4.0,10.3,209.0
1.8,4.0,9.6,196.0
2.5,6.0,14.2,304.0
2.5,6.0,13.8,294.0
1.3,4.0,9.1,191.0
1.3,4.0,7.6,156.0
2.0,4.0,11.7,251.0
2.0,4.0,11.8,253.0
1.6,4.0,10.5,228.0
2.0,4.0,11.7,253.0
2.0,4.0,11.8,255.0
2.7,4.0,14.2,301.0
2.7,4.0,15.4,320.0
3.4,6.0,15.7,334.0
3.4,6.0,15.7,331.0
3.0,6.0,12.7,251.0
2.2,4.0,11.8,239.0
2.2,4.0,11.4,228.0
3.0,6.0,13.4,267.0
2.2,4.0,11.8,239.0
3.0,6.0,13.4,267.0
3.0,6.0,12.7,253.0
3.0,6.0,14.0,278.0
1.8,4.0,10.1,205.0
1.8,4.0,11.6,237.0
1.8,4.0,10.0,209.0
1.8,4.0,11.6,230.0
1.8,4.0,9.3,189.0
1.8,4.0,8.7,179.0
1.5,4.0,8.6,179.0
1.5,4.0,8.2,173.0
2.0,4.0,11.3,235.0
2.0,4.0,11.2,232.0
2.0,4.0,12.2,258.0
2.0,4.0,12.1,258.0
2.0,4.0,11.3,235.0
2.0,4.0,11.2,232.0
2.0,4.0,11.8,251.0
2.0,4.0,11.9,253.0
3.0,6.0,14.3,288.0
2.4,4.0,12.6,267.0
2.4,4.0,12.2,253.0
2.7,4.0,14.0,301.0
3.4,6.0,15.3,324.0
2.7,4.0,14.2,301.0
2.7,4.0,15.7,329.0
3.4,6.0,15.2,324.0
3.4,6.0,15.7,331.0
3.4,6.0,15.7,331.0
3.4,6.0,16.0,336.0
4.7,8.0,17.3,363.0
3.4,6.0,17.2,368.0
3.4,6.0,17.1,363.0
4.7,8.0,18.2,382.0
2.0,4.0,12.6,253.0
2.0,4.0,11.2,230.0
2.8,6.0,17.6,357.0
2.8,6.0,18.6,375.0
1.8,4.0,12.1,248.0
1.8,4.0,11.1,225.0
2.0,4.0,11.9,244.0
2.0,4.0,11.2,228.0
1.9,4.0,8.1,192.0
1.9,4.0,6.7,165.0
1.8,4.0,11.1,225.0
2.0,4.0,11.9,244.0
2.0,4.0,11.2,228.0
2.8,6.0,13.2,260.0
1.8,4.0,12.1,248.0
1.8,4.0,11.1,225.0
2.0,4.0,11.9,244.0
2.0,4.0,11.2,228.0
2.8,6.0,14.2,283.0
2.8,6.0,13.6,267.0
1.9,4.0,8.1,192.0
1.9,4.0,6.7,165.0
1.8,4.0,11.9,248.0
1.8,4.0,10.6,223.0
2.0,4.0,11.9,244.0
2.0,4.0,11.2,228.0
1.9,4.0,8.1,192.0
1.9,4.0,6.7,165.0
1.8,4.0,13.2,258.0
1.8,4.0,11.2,225.0
